AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
Manual of Universal Applicaion,The Successful Housekeeper,M. W. Ellsworth & Co.,Fair,No Jacket,Hard Cover,Education,NULL,1882,NULL,608,NULL
"Mateaux, C. L.",The Wonderland of Work,Cassell & Company. Limited,Poor,No Jacket,Hard Cover,Historical,NULL,1884,NULL,385,NULL
"Mateaux, Rose & C. L. Joshua",Wonderland of Work,The J. Dewing Co.,NULL,NULL,Hard Cover,Collector,NULL,1884,NULL,385,NULL
"Macy, Jesse, A.M.",Our Government,Ginn and Company,Poor,No Jacket,Hard Cover,Historical,NULL,1886,NULL,238,NULL
"Owens, Mrs. Frances E.",Mrs. Owens Cook Book and Useful Household Hints,J. M. Ball,Poor,No Jacket,Hard Cover,Cook Book,NULL,1886,NULL,500,NULL
"Chase, A. W., M.D.","Dr. Chases Third. Last, and Complete Receipt Book",F.. B. Dickerson Co.,Poor,No Jacket,Hard Cover,Autobiography,NULL,1887,NULL,870,NULL
"Moore, Thomas","Lalla Rookh, an Oriental Romance",Thomas Y Crowell & Co.,Poor,No Jacket,Hard Cover,Collector,NULL,1888,NULL,290,NULL
"Johonnot, James",Stories of the Olden Time,D. Appleton and Company,Poor,No Jacket,Hard Cover,Novel,NULL,1889,NULL,254,NULL
"Wiggin, Kate Douglas",The Story of Patsy,Houghton Miffin Co.,Good,No Jacket,Hard Cover,Collector,NULL,1889,NULL,68,NULL
"Twain, Mark",A CONNECTICUT YANKEE IN KING ARTHURS COURT,Century Mag,Fair,Poor,Hard Cover,NULL,NULL,1889,1,NULL,NULL
"Eadie, Bettty J.",Antiques of American Childhood,Bramhall House,Good,Good,Hard Cover,Collector,NULL,1890,NULL,351,NULL
"Riley, James Whitcomb",Riley Child-Rhymes,The Bobbs-Merrill Co.,Very Good,No Jacket,Hard Cover,Childs Book,NULL,1890,NULL,188,NULL
"Bierce, Ambrose",In the Midst of Life: Tales of Soldiers and Civilians,E.L.G. Steele,Poor,No Jacket,Hard Cover,Horror,NULL,1891,NULL,203,NULL
"Graham, Frank D. & Emery, Thomas J.",Audels Carpenters and Builders Guide,"Theo. Audel & Co., Publishers",Very Good,Fair,Hard Cover,Education,NULL,1892,NULL,NULL,NULL
"Bierce, Ambrose",In the Midst of Life: Tales of Soldiers and Civilians,"Published byChatto & Windus, London",Fair,No Jacket,Hard Cover,Horror,NULL,1892,NULL,244,NULL
"Lossing, Benson J.",The History of the United States,Gay Brothers and Co.,Poor,No Jacket,Hard Cover,Historical,NULL,1893,NULL,798,NULL
"Burnett, Frances Hodgson",Piccino and Other Child Stories,Charles Scribner & Son,Poor,No Jacket,Hard Cover,Childs Book,NULL,1894,NULL,NULL,NULL
"Field, Eugene",With Trumpet and Drum,Charles Scribner & Son,Good,No Jacket,Hard Cover,Collector,NULL,1895,NULL,126,NULL
"Chambers, Robert W. ",The King in Yellow,F. Tennyson Neely,Good,Good,Hard Cover,Horror,NULL,1895,NULL,253,NULL
"Machen, Arthur",The Three Imposters,John Lane,Fair,No Jacket,Hard Cover,Horror,NULL,1895,1,215,NULL
"Malory, Thomas",Le Morte dArthur,Dent,Good,No Jacket,Hard Cover,Prose,NULL,1895,NULL,NULL,Middle English
"Cyr, Ellen M.",The Childrens Third Reade,Ginn & Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1896,NULL,255,This book is in very poor condition.
"Field, Eugene",Love-Songs of Childhood,Charles Scribner & Son,Fair,No Jacket,Hard Cover,Childs Book,NULL,1896,NULL,111,NULL
McGuffey,McGuffeys Third Eclectic Reader,American Book Co.,Poor,No Jacket,Hard Cover,Education,NULL,1896,NULL,208,NULL
"Von Moser, Gustav",Der Bibliothefar,D. C. Heath & Co.,Poor,No Jacket,Hard Cover,Education,NULL,1897,NULL,178,NULL
"Joynes, Edward S.",Der Zerbrochene Krug,D. C. Heath & Co.,Poor,No Jacket,Hard Cover,Education,NULL,1898,NULL,76,NULL
"Pierson,, Clara Dillingham",Among the Forest People,"E. P. Dutton & Company, Inc.",Fair,No Jacket,Hard Cover,Childs Book,NULL,1898,NULL,219,NULL
"Lentz, Max",LUrrabbiata Heyse,American Book Company,Poor,No Jacket,Hard Cover,Education,NULL,1899,NULL,87,NULL
"Lyman, Henry M., M.D. + Various Others",The New American Family Physician,George M. Hill Co.,Fair,No Jacket,Hard Cover,Collector,NULL,1899,NULL,1157,"This is an extremely large book, and considering the age is in fairly good conditon."
"Cyr, Ellen M.",The Childrens Reader,Ginn and Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1900,NULL,257,Book is in very poor shape
"Fullerton, Anna M. , M.D.",A Handbook of Obstetric Nursing,P. Blakistons Son and Co.,Poor,No Jacket,Hard Cover,Health,NULL,1900,NULL,262,NULL
"Mertz, Ursula R.",Composition Dolls,Collector Books,Very Good,No Jacket,Hard Cover,Collector,1574320807,1900,NULL,390,NULL
"Tolstoy, Count Leo",War and Peace,The Book League of America,Poor,No Jacket,Hard Cover,Novel,NULL,1900,NULL,537,NULL
"Baum, L. Frank",Mother Goose in Prose,Bounty Books,Very Good,Very Good,Hard Cover,Childs Book,NULL,1901,NULL,265,NULL
"James, Hartwell",Sea Kings and Naval Heroes,Henry Altemus Co.,Poor,No Jacket,Hard Cover,Adventure,NULL,1901,NULL,260,NULL
"Williams, Evangelist M. B.",Sex Problems as related to Health,Fleming H. Revell Company,Fair,No Jacket,Hard Cover,Medical,NULL,1901,NULL,NULL,NULL
"Ashton, William Easterly, M.D.",Essentials of Obstetrics,W. B. Saunders & Company,Fair,No Jacket,Hard Cover,Medical,NULL,1902,NULL,NULL,NULL
"Barrie, J. M.",The Little White Bird or Adventures in Kensington Gardens,Charles Scribner & Son,NULL,NULL,Hard Cover,Collector,NULL,1902,NULL,349,NULL
"Cox, Palmer",Palmer Coxs Fairy Tales,Hurst & Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1902,NULL,NULL,NULL
"Fielding, Henry",The History of the Adventures of Joseph Andrews and His Friend Mr. Abraham Adams,The Century Co.,NULL,NULL,Hard Cover,Collector,NULL,1902,NULL,320,NULL
"Goldsmith, Oliver & Mackenzie, Henry","Sir Roger De Coverley, The Vicar of Wakefield and the Murder at the Vicarage",The Century Co.,NULL,NULL,Hard Cover,Collector,NULL,1902,NULL,94,NULL
"McCutcheon, George Barr",Castle Craneycrow,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Novel,NULL,1902,NULL,391,NULL
"Reade, Charles",It is Never Too Late to Mend,The Century Co.,Very Good,No Jacket,Hard Cover,Education,NULL,1902,NULL,699,NULL
"Reed, Myrtle",Lavender and Old Lace,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Collector,NULL,1902,NULL,267,NULL
"Richardson, Samuel",Pamela,The Century Co.,NULL,NULL,Hard Cover,Collector,NULL,1902,NULL,533,NULL
"Steinbeck, John",Of Mice and Men,Penguin Books,As New,No Jacket,Soft Cover,Novel,140177396,1902,NULL,107,NULL
"Trollope, Anthony",Barchester Towers,The Century Co.,NULL,NULL,Hard Cover,Collector,NULL,1902,NULL,515,NULL
"Beman, Wooster Woodruff and David Eugene Smith",Solid Geometry,Ginn & Company,Poor,No Jacket,Hard Cover,Education,NULL,1903,NULL,382,NULL
"Collins, Wilkie",The Moonstone,The Century Co.,Very Good,No Jacket,Hard Cover,Collector,NULL,1903,NULL,515,NULL
"Dodge, Mary Mapes",Hans Brinker or The Silver Skates: A Story of Life In Holland,Charles Scribner & Son,NULL,NULL,Hard Cover,Collector,NULL,1903,NULL,393,NULL
"Lever, Charles",The Confessions of Harry Lorrequer,The Century Co.,Very Good,No Jacket,Hard Cover,Collector,NULL,1903,NULL,494,NULL
"Wright, Harold Bell","That Printer of Udels, a Story of the Middle West",A. L. Burt Company,Poor,No Jacket,Hard Cover,Novel,NULL,1903,NULL,468,NULL
Balzac,"Eugenie Grandet, A Study of Woman, Etc",The Century Co.,Good,No Jacket,Hard Cover,Education,NULL,1904,NULL,383,NULL
Balzac,"Father Goriot, The Unconscious Humorist, Gaudissart The Great",The Century Co.,Very Good,No Jacket,Hard Cover,Novel,NULL,1904,NULL,392,NULL
Balzac,The Rise and Fall of Cesar Birotteau and the Secrets of a Princess,The Century Co.,NULL,NULL,Hard Cover,Collector,NULL,1904,NULL,387,NULL
"Montgomery, Frances Trego","Billy Whiskers, Jr.",The Saalfield Publishing Co.,Fair,No Jacket,Hard Cover,Childs Book,NULL,1904,NULL,NULL,NULL
"Shutts, George C.","Plane Geometry, Suggested Method","Atkinson, Mentzer, & Grover",Poor,No Jacket,Hard Cover,Education,NULL,1904,NULL,403,NULL
"Williams, Walter",The State of Missouri,E. W. Stephens,Fair,No Jacket,Hard Cover,Autobiography,NULL,1904,NULL,592,NULL
"Christyi, Howard Chandler",Drawings in Black & White,"Moffat, Yard & Company",Poor,No Jacket,Hard Cover,Education,NULL,1905,NULL,?,NULL
"Grover, Eulalie Osgood",The Overall Boys,Rand McNally & Company,Good,No Jacket,Hard Cover,Childs Book,NULL,1905,NULL,NULL,NULL
"Law, Hartland M..D. And Herbert E. Law, F.C.S.","Viavi Hygiene for Women, Men, and Children",The Viavi Company,Good,No Jacket,Hard Cover,Medical,NULL,1905,NULL,610,NULL
"Dunsany, Lord",The Gods of Pegana,Elkin Mathews,Poor,No Jacket,Hard Cover,Fantasy,NULL,1905,1,94,NULL
"DeLee, Joseph B., M.D.",Obstetrics for Nurses,W. B. Saunders Company,Poor,No Jacket,Hard Cover,Medical,NULL,1906,NULL,512,NULL
"Taylor, Frances Lillian",Nursery Tales,F. A. Owens Co. & Hall & McCreary,Poor,No Jacket,Soft Cover,Childs Book,NULL,1906,NULL,32,NULL
"Woolard, Samuel Francis",The Beauties of Friendship,The Goldsmith Publishing Co.,Poor,No Jacket,Soft Cover,Fiction,NULL,1906,NULL,60,NULL
"Malory, Thomas",Le Morte dArthur,J.M. Dent & Co.,Poor,No Jacket,Hard Cover,Prose,NULL,1906,NULL,NULL,Middle English
"Bryan, William Jennings",The Old World and Its Ways,"The Thompson Publishing Ci,",Poor,No Jacket,Hard Cover,Historical,NULL,1907,NULL,575,NULL
"Childe, Mrs. Hubert",Life and Song,Mrs. Hubert Childe,NULL,No Jacket,Soft Cover,Collector,NULL,1907,NULL,58,NULL
"Kipling, Rudyard",Captains Courageous,"Aerie Books, Ltd",Good,No Jacket,Soft Cover,Classic,559029838,1907,NULL,176,NULL
"Milton, Uncle",The Sunbonnet Twins,Cupples & Leon Co.,Fair,No Jacket,Hard Cover,Childs Book,NULL,1907,NULL,NULL,NULL
"Service, Robert",The Spell of the Yukon,"Dodd, Mead & Co",Poor,No Jacket,Hard Cover,Poetry,NULL,1907,NULL,126,NULL
"Sterling, Sara Hawks",A Lady of King Arthurs Court,George W. Jacobs & Co.,Poor,No Jacket,Hard Cover,Collector,NULL,1907,NULL,259,NULL
Uncle Milton,The Sunbonnet Twins,Cupples & Leon Co.,Fair,No Jacket,Hard Cover,Childs Book,NULL,1907,NULL,NULL,NULL
"Vance, Louis Joseph",Terence ORourke Gentleman Adventurer,The Bobbs-Merrill Company,Fair,No Jacket,Hard Cover,Romance,NULL,1907,NULL,393,NULL
"Green, Allen Ayrault",The Land of Lost,"Small, Maynard and Company",Poor,No Jacket,Hard Cover,Childs Book,NULL,1908,NULL,142,NULL
"Mifflin, Houghton",The Childrens Own Longfellow,Houghton Miffin Co.,As New,Very Good,Hard Cover,Poetry,NULL,1908,NULL,103,NULL
"Morse, Sidney",Household Discoveries,The Success Company,Poor,No Jacket,Hard Cover,Cook Book & Household Hints,NULL,1908,NULL,NULL,NULL
Rosco James Ham and Arthur Newton Leonard,Brief German Grammar,Ginn and Company,Poor,No Jacket,Hard Cover,Education,NULL,1908,NULL,241,NULL
"Morse, Sidney",Household Discoveries and Mrs. Curtiss Cookbook,The Success Company,Poor,No Jacket,Hard Cover,Cook Book,NULL,1909,NULL,744,NULL
"Eliot, Charles W. LLD","The Harvard Classics, English Poetry",P. F. Collier & Son,Poor,No Jacket,Hard Cover,Poetry,NULL,1910,NULL,1508,This is a book in three parts
"Robinson, Anna",The Chatterbox Book of Soldiers and Sailors,Boston and Dana Estes & Co.,Fair,No Jacket,Hard Cover,Childs Book,NULL,1910,NULL,NULL,NULL
"Smith, Jeesie Wilcox",A Childs Book of Old Verses,Duffield & Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1910,NULL,NULL,NULL
"Whipple, Wayne",The Story of the White House,Henry Altemus Co.,Poor,No Jacket,Hard Cover,Historical,NULL,1910,NULL,140,NULL
"Barrie, J. M.",Peter Pan and Wendy,Charles Scribner & Son,Very Good,No Jacket,Hard Cover,Childs Book,NULL,1911,NULL,185,NULL
"Burnett, Frances Hodgson",Little Lord Fauntleroy,Charles Scribner & Son,Fair,No Jacket,Hard Cover,Childs Book,NULL,1911,NULL,246,NULL
"Delort, Robert",The Life and Lore of the Elephant,"Harrry N. Abrams, Inc.",As New,No Jacket,Soft Cover,Education,810928485,1911,NULL,191,NULL
"Hart, C. A. & Feldman, Daniel D.",Plane and Solid Geometry,American Book Comp,Poor,No Jacket,Hard Cover,Education,NULL,1911,NULL,488,NULL
"Neil, Marion Harris",The Story of Crisco,Proctor & Gamble Co.,Poor,No Jacket,Hard Cover,Cook Book,NULL,1911,NULL,231,NULL
"Dunsany, Lord",The Gods of Pegana,Pegana Press,Good,No Jacket,Hard Cover,Fantasy,NULL,1911,NULL,94,NULL
"Bragg, Patricia",Apple Cider Vinegar,Health Science,As New,No Jacket,Soft Cover,Health,97812,1912,NULL,136,NULL
"Gilbert, Henry",Robin Hood,"Books, Inc.",Good,Poor,Hard Cover,Collector,NULL,1912,NULL,304,NULL
"Strindberg, August",Fadern,Albert Bonniers Forlan,Poor,No Jacket,Soft Cover,Collector,NULL,1912,NULL,118,NULL
"Dunsany, Lord",The Book of Wonder,William Heinemann,Good,Fair,Hard Cover,Fantasy,NULL,1912,NULL,NULL,NULL
"Rohmer, Sax",The Quest of the Sacred Slipper,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1913,NULL,293,NULL
"Seton, Ernest Thompson",Wild Animals at Home,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Education,NULL,1913,NULL,126,NULL
"War, Great",Americas Army,Divisions,Good,No Jacket,Soft Cover,Education,NULL,1914,NULL,NULL,NULL
"Eliot, Georgge",Silas Marner,Macmillan Publishing Company,Poor,No Jacket,Hard Cover,Collector,NULL,1915,NULL,213,NULL
"Franck, Harry A.",A Vagabond Journey Around the World,The Century Co.,Poor,No Jacket,Hard Cover,Travel,NULL,1915,NULL,502,NULL
"Grover, Eulalie Osgood",The Sunbonnet Babies in Holland,Rand McNally & Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1915,NULL,150,NULL
"Rohmer, Sax",The Yellow Claw,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1915,NULL,427,NULL
"Woodbridge, W. W.",That Something,The Smith-digby Company,Fair,No Jacket,Hard Cover,Collector,NULL,1915,11,54,NULL
"Fryer, Jane Eayre",The Mary Frances First Aid Book,Jane Eayre Fryer,Poor,No Jacket,Hard Cover,Collector,NULL,1916,NULL,144,NULL
"Garrison, Paul",Sand and Foam,Alfred A. Knopf,Good,Good,Hard Cover,Adventure,NULL,1916,NULL,85,NULL
"Hancock, John",The American Flag,Livermore & Knight Co.,Poor,No Jacket,Soft Cover,Political,NULL,1916,NULL,19,NULL
"Hubler, Edward",Eminent Artists in 14 Volumes,Roycrofterd,Poor,No Jacket,Hard Cover,Historical,NULL,1916,NULL,NULL,NULL
"Rohmer, Sax",The Return of Dr. Fu-Manchu,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1916,NULL,332,NULL
"Shakespeare, William",Julius Caesar,Macmillan Publishing Company,Poor,No Jacket,Hard Cover,Collector,NULL,1916,NULL,205,NULL
"Tarkington, Booth",Penrod and Sam,"Doubleday , Page and Co.",Good,No Jacket,Hard Cover,Novel,NULL,1916,NULL,356,NULL
"Wells, H. G.",Mr. Britling Sees it Through,The MacMillan Company,Poor,No Jacket,Hard Cover,Collector,NULL,1916,NULL,443,NULL
"Wiggin, Kate Douglas",The Romance of a Christmas Card,Houghton Miffin Co.,Fair,No Jacket,Hard Cover,Collector,NULL,1916,NULL,124,NULL
"Guest, Edgar A.",Just Folks,The Reilly & Lee Co.,Fair,No Jacket,Hard Cover,Poetry,NULL,1917,NULL,192,NULL
"Mayhew, Ralph and Burges Johnson",The Pet Bubble Book,Harper & Brothers,Poor,No Jacket,Hard Cover,Childs Book,NULL,1917,NULL,16,The covers of this book have been scotch taped. Not very neat.
"Rohmer, Sax",The Hand of Fu-Manchu,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1917,NULL,308,NULL
"Twain, Mark",A CONNECTICUT YANKEE IN KING ARTHURS COURT,New York: Modern Librar,Very Good,Good,Hard Cover,NULL,NULL,1917,NULL,450,NULL
"Cox, Palmer",The Brownies and Prince Florimel,The Century Co.,Poor,No Jacket,Hard Cover,Childs Book,NULL,1918,NULL,246,NULL
"Dole, Helen B.",Little Miss Grasshopper,Thomas Y. Crowell Co,NULL,NULL,Hard Cover,Collector,NULL,1918,NULL,76,NULL
"Hyde, E. A. Wtson",Little Sisters to the Camp Fire Girls or Blue Birds of Grassybank,Rand McNally & Company,Fair,No Jacket,Hard Cover,Collector,NULL,1918,NULL,64,NULL
"Perdue, H. Avis",Child Life in Other Lands,Rand McNally & Company,Good,No Jacket,Hard Cover,Historical,NULL,1918,NULL,232,NULL
"Porter, Gene Stratton",A Daughter of The Land,Doubleday Page & Co.,NULL,NULL,Hard Cover,Collector,NULL,1918,NULL,475,NULL
"Porter, Gene Stratton",A Daughter of the Land,"Doubleday, Page & Co.",Fair,No Jacket,Hard Cover,Novel,NULL,1918,NULL,475,NULL
"Spyri, Johanna",Little Miss Grasshopper,Thomas Y Crowell & Co.,Poor,No Jacket,Hard Cover,Childs Book,NULL,1918,NULL,76,NULL
"Houston, Peracyi Hazen & Bonnell, John Kester",Types of Great Literature,"Doubleday & Company, Inc.",NULL,NULL,Hard Cover,Collector,NULL,1919,NULL,542,NULL
"Rohmer, Sax",Dope,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1919,NULL,385,NULL
"Rohmer, Sax",Tales of Secret Egypt,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1919,NULL,313,NULL
"Day, Clarence",The Best of Clarence Day,Alfred A. Knoff,Fair,Very Good,Hard Cover,Collector,NULL,1920,NULL,451,NULL
"Hart, Harold H.",The Bawdy Bedside Reader,Bell Publishing Co.,Good,Good,Hard Cover,Humor,NULL,1920,NULL,475,NULL
"Hoyt, Franklin S. & Peet, Harriet E.","Everyday Arithmetic, Advanced Book",Houghton Miffin Co.,Fair,No Jacket,Hard Cover,Education,NULL,1920,NULL,326,NULL
"Lewis, Sinclair",Main Street,New American Library,Very Good,No Jacket,Soft Cover,Collector,NULL,1920,NULL,439,NULL
"Miller, William E,",Millers Mind Training for Children,William E. Miller,Poor,No Jacket,Hard Cover,Education,NULL,1920,NULL,110,NULL
"Rohmer, Sax",The Green Eyes of Bast,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1920,NULL,311,NULL
"Yates, Raymond F.",Boys Book of Model Boats,The Century Co.,Poor,No Jacket,Hard Cover,Self Help,NULL,1920,NULL,215,NULL
"Rohmer, Sax",Bat Wing,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1921,NULL,333,NULL
"Spyri, Johanna",Mazli,A. L. Burt Company,Very Good,No Jacket,Hard Cover,Childs Book,NULL,1921,NULL,NULL,NULL
"Woodhead, H. G. W.","The China Year Book, 1921-2",Tientsin Feather Co. LTD,NULL,NULL,Hard Cover,Collector,NULL,1921,NULL,1062,NULL
"Norton, Thomas James",The Constitution of the United States,"Committee for Constitutional Government, Inc.",Good,No Jacket,Hard Cover,Historical,NULL,1922,NULL,319,NULL
"Piper, Watty",Childrens Hour with Cinderell & Other Stories,Platt & Munk,Fair,No Jacket,Hard Cover,Childs Book,NULL,1922,NULL,NULL,NULL
"Rohmet, Sax",Firre-Tongue,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1922,NULL,304,NULL
"Graham, Frank D. & Emery, Thomas J.",Audels Carpenteers and Builders Guide #4,"Theo, Audel & Co.",Very Good,Very Good,Hard Cover,Education,NULL,1923,NULL,NULL,NULL
"Guest, Edgar A.",My Job as a Father and What My Father Did for Me,The Riley and Lee Co.,Good,No Jacket,Hard Cover,Biography,NULL,1923,NULL,64,NULL
Los Angeles,Los Angeles Today,Neuner Corporation,Good,No Jacket,Soft Cover,Historical,NULL,1923,NULL,32,NULL
"May, Stella Burke","Men, Maidens & Mantillas",The Century Co.,Fair,No Jacket,Hard Cover,Novel,NULL,1923,NULL,362,NULL
"Kline, R. E. Pattison",Authorities on Oratory Us of illustrat Ions,North American Institute,Good,No Jacket,Hard Cover,Education,NULL,1924,NULL,148,NULL
"Kline, R. E. Pattison",Selected Speeches for Practice,North American Institute,Good,No Jacket,Hard Cover,Education,NULL,1924,NULL,133,NULL
"Kline, R. E. Pattison",Training of the Voice,North American Institute,Good,No Jacket,Hard Cover,Education,NULL,1924,NULL,128,NULL
"Magonigle, H. Van Buren","Nature, Practice & History",Charles Scribner & Son,Very Good,Fine,Hard Cover,Education,NULL,1924,NULL,319,NULL
R. E. Pattison Kline,"Authorities on Oratory, Use of Illustrations, After Dinner Speaking Arguments",North American Institute,Poor,No Jacket,Hard Cover,Education,NULL,1924,NULL,NULL,NULL
R. E. Pattison Kline,Selected Speeches for Practice,North American Institute,Poor,No Jacket,Hard Cover,Education,NULL,1924,NULL,NULL,NULL
R. E. Pattison Kline,Training of the Voice,North American Institute,Poor,No Jacket,Hard Cover,Education,NULL,1924,NULL,NULL,NULL
"Rohmer, Sax",Grey Face,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1924,NULL,331,NULL
"Eliot, Georgge",Silas Marner,John C. Winston Company,Good,No Jacket,Hard Cover,Collector,NULL,1925,NULL,315,NULL
"Engel, Howard","Murder in Montparnasse, A Literariy Mystery of Paris",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,1925,NULL,NULL,NULL
"Rohmer, Sax",Yellow Shadows,"McKinlay, Stone & Mackenzie",As New,No Jacket,Hard Cover,Mystery,NULL,1925,NULL,299,NULL
"Spyri, Johanna",Vinzi,A. L. Burt Company,Poor,No Jacket,Hard Cover,Childs Book,NULL,1925,NULL,297,NULL
"Stevenson, Robert Louis",Kidnapped,J. F. Ferguson and Associates,Poor,No Jacket,Hard Cover,Childs Book,NULL,1925,NULL,339,NULL
" deBalzac, Honore",Complete Novelettes of Honore De Balzac,P. F. Collier & Son,Very Good,No Jacket,Hard Cover,Novel,NULL,1926,NULL,1005,NULL
"Christie, Agatha",The Under Dog and Other Stories,Berklely Books,Good,No Jacket,Soft Cover,Mystery,425068080,1926,NULL,215,NULL
"Kinsey, Don J.",The Romance of Water & Power,Dept of Water and Power,Good,No Jacket,Soft Cover,Education,NULL,1926,NULL,39,NULL
"Rhead, Louis",The Arabian Nights Entertainments,Harper & Brothers,Fair,No Jacket,Hard Cover,Classic,NULL,1926,NULL,430,NULL
"Spyri, Johanna","Eveli, The Little Singer",A. L. Burt Company,Fair,No Jacket,Hard Cover,Childs Book,NULL,1926,NULL,272,NULL
"Truman, Harry",Heres Harry!,Hallmark Editions,Good,No Jacket,Soft Cover,Historical,NULL,1926,NULL,NULL,NULL
"Dine, S.S. Van","The Canary"" Murder Case""",Grosset & Dunlap,Fair,No Jacket,Hard Cover,Mystery,NULL,1927,NULL,NULL,NULL
"Freeman, Frank N.",Jack and Jane,California State Series,Poor,No Jacket,Hard Cover,Childs Book,NULL,1927,NULL,152,NULL
"Lurie, Charles N.",How to Say it,G. P. Putnam Sons,Poor,No Jacket,Hard Cover,Education,NULL,1927,NULL,312,NULL
"Neblette, C. B. , F.R.P.S.","Photography, Its Princi;les and Practive",D. Van Nostrand Company,Fair,No Jacket,Hard Cover,Education,NULL,1927,NULL,865,NULL
Non Denominational,California Military Academy,California Military Academy,Fair,No Jacket,Mass Market Paperback,Paperback,NULL,1927,NULL,NULL,NULL
"OHarra, Cleophas C.",OHarras Handbook of the Black Hills,The Black Hills Handbook Co.,Very Good,No Jacket,Soft Cover,Collector,NULL,1927,NULL,175,NULL
"Stratton- Porter, Gene",The Magic Garden,Grosset & Dunlap,Fair,Poor,Hard Cover,Novel,NULL,1927,NULL,272,NULL
The Literary Digest,Atlas of the World and Gazetteer,Funk & Wagnalls Co.,Poor,No Jacket,Hard Cover,Encyclopeia,NULL,1927,NULL,192,NULL
